,upgrade the app
157,whentry joinmeetingcan see everyone clearly buthave sound andcan not enable micwent through all the troubleshootingcan think uninstall and reinstall app still doesnt work enable all app permissons for the app still does work check mic not muted checked try pushing the enable audio butoon app does work just nope uninstall use something else that works
158,never ever clear voice during meetings and continuous disconnection during all the meetings
159,dont will not secure
160,totally confusing setup and came with some gobbledegook error message computer speak fairly typical really software geeks zoom zoom cloud for example who knows does work with opera browser apparently not when you download doesneven confirm has successfully installed
161,trying download but automatically down load mobile plz guide
162,hell app uses most the mobile data
163,cannot get this app onto home screen badhave many meetings and cannot participate any lost tried all the waysi knew
164,govt india declare unsafe also found out that hackers sell zoom video app data for approx lakh that around usd this app not safe allam terminating account right away hope they didnsell data already boycottzoom
165,have downloaded twice asked forpassword once how dolog formeeting cannot work out how get zoom
166,since the updatecontinually drop out the meetingam really disappointing
167,audio permissions granted checked settings tried connecting headphones via jack neither works doc page not helpful seems show old information
168,not safe itchinese item that doesnlast long
169,bad experience
170,chines app
171,this mademess phone reset setting all apps had use this app dochat with insurance find other apps phone were all screwy make sure nothing was left behind this thingdidreset phone over
172,this app recently many hackers activities going newyork time say many accounts data cheating this app
173,just take down forfew months students donhave deal with
174,not downloaddownloaded this phone and has ruined phoneuninstalled with hours but sincedownloaded the app has restarted its own repeatedlytalked withservice technician for phone and the service rep cando anything but tell take torepair place
175,super laggy the point being unusable meeting recordings also fail load halfway through super annoying
176,cannot even install this app please help
177,tried two tables and two laptops and cell done does not work anythinghave donwaist your unless your device less than two years old
178,this sucks
179,bad bad
180,how dosign intomeeting
181,canget intomeeting start one
182,still there should zero rating
183,badest app ever
184,doesnt work laptop and saysmust usephone
185,could not get play and very irritated whatcollosal waste time
186,doesnt work
187,downloaded this app use for school and tells its installed but there nothing there something wrong with the app what shoulddo now causeneed urgently for school how doaccept requests ifjust sign without downloading the app canfix the problem and let know
188,horrible app
189,qua
190,after days downloading canfind the app even though says suitable for mobile and
191,shows installed but the icon does not show anywhere the laptop screen can somebody please help
192,howuse
193,ittoo heavy app
194,devhave been using this for year and never hadproblem after the phone got updated nougat the app making the whole phone audio mute oncestart the apphad restart get the audio backam using miui appreciate can fixed
195,basic features donwork correctly particularly link handling you canclickmeeting url and have the app pop open and audio will route meetings bluetooth and thereno way transfer handset even you haveheadset the also unclearg the speaker control and annoying speaker default finally components are hinted suchway that security managers lastpass think meeting numbers are passwords and try save them
196,solve math problems with brother and the picture always out focus and there way readjust the focus the camera miserable
197,audio issues couldnhearword that was said the meeting
198,amazingly the linux experience has gotten even worse seems force itself all virtual desktops with way disable itpreviously only saw that with wayland but now xorg doing too any timeshare the remote ends shrinks down unusably small window that makes nearly impossible see any listener reactions mic volume seems some form dev random every time you start the app which always becausekillall whenm done overall unimpressive star
199,the app simple use and configure however once disconnected impacts the data connectivity
200,not sure how work meeting
201,choppy
202,zoom ainworking uaeguess could you please work thatso much
203,need
204,usefully
205,why you need access usergoogle drive may having personal information
206,good
207,okay app but could better because when any participant joins from their android phone their audio low they are using the loudspeaker their phonethink issue with zoomaudio algorithms android devices since other video calling apps donhave the same issue the audio gain needs increased also when anyone tries join donmake the default audio method isprompt asking which audio source use since very often non techy participants are expect
208,whenam clicking the sign button showspop bar which containsmessage that internet connection failed sign updonknow what further please help with your kind suggestion
209,the permissions this app requires donmake sense with what doesam not comfortable poking itnose every area phonehave use for one meeting once doneam getting rid
210,tried using multiple devices and was unable hear the speaker who was not muted according other meeting attendees very sad miss this meeting
211,professer uses this online lecturesusually use the computer but since brokehad usetablet instead the audio doesnt work when during the meetings socanhear his lectures
212,the description mentions screen sharing howeveram not able find figure out far its basically justwatered down version facetime
213,the app good but too many problems hearing persons clearly
214,nice one
215,didnauto mute default whenjoined despite showing indication
216,thatwas muted absolute deal breaker addingstar because they seem
217,care about the app and contacted address
218,doesnwork edge used work beforem guessing related update the appcan sign but none contacts show andkeep getting this message constantly appear and disappear that says click activate your messenger course nothing changes whentry click ittried clearing app data cache reinstalling and nothing works useless when worked was particularly annoying answercall the computer also running zoom but the phone kept ringing and ringing
219,get lost
220,works but the audio are not coming out bluetooth headset just working down the wired
221,ever sinceve updated wonwork please fix helpusesamsung tablet and everyone uses this app meetings socanchange itreally need attend meeting please help thank
222,candownload
223,user experience leaveslot desired even after video training mobile app and computer app totally different functionally great potential but not intuitive
224,donrecieve notifications only whenopen the app they already
225,itnot very user friendly the little buttons the bottom whenm using tablet messes with the buttons the bottom tablet whenever you dovideo share ormean screen share something like that then either shuts off the person canhear you itjusthassle really really itnot very user friendly
226,its sad one important meeting got recording with but there not video itdonknow what now
227,you canscreen share all types google drive file types you cansee yourself video nor flip you camera from front rear while presenting like you can ios that was always useful during meetingleft ios for android and now forced use desktop verison meet because the lack features the mobile app compared ios which sucks becauselove walk and talk whatup with that zoom
228,iin uae andm not sure that the reason whycannot sign keep connecting but never connectedwould appreciate you can guide and give any solution with this
229,price high india ruppes not support review
230,app totally useless without working push notificationscanbelieve
231,app fromcompany this size canget something simple
232,notifications right mine donwork unlesshave the app open and even
233,with open the background stops receiving notifications afterfew
234,minutes whenloggedsupport ticket with zoomgot told could take
235,weeks sort howm supposed tell that all staff who use
236,used foryear each time there issoftware update android data records disappear ituseless aslong term health monitor other than that was great
237,its good
238,windows email zoom rooms
239,basically works but pales comparison the iphone appcanfigure out for the life how savemeeting even thoughve connected dozens timesam logged lots little quality life improvements the ios app that just are not present this onewould much happier theyeven adddrop down for recent meeting ids this exists literally every other platform zoom supports stands the only waycan connect tomeeting manually type the everytime open calendar find the meeting and clickzoom link inside the description
240,zoom has rencently started disconnecting connection samsung galaxy
241,first time using the app pixel and caused the phone shut off due overheating before that sudden interruption the call was fine
242,recent update has caused app not work with chrome book version use zoom frequently and need findwork around solve the issue
243,views clean enlarges well would nice chats can shut off chats between attendees annoying they cover much the screen too much oncell phone
244,friend got and tried video chat started squeaking really loudcouldnt even hear her
245,horreble
246,sorry butcould not hear anyone the meeting
247,app having problem opening
248,when works its goodcant ever get the audio work automatically all thishate missing meeting chats etchave android and its very difficult
249,extremely long download mobile itnot too stable video cuts out
250,sound has static samsung note
251,nice app but could have been lighter than
252,impossible download app several attempts made
253,not getting notifications for new messages
254,rxffd trdtx rrrxfxxfxftdxxxxdxxt yeah ball where about how you about
255,this app works awesome
256,just downloaded zoom onto tab thatcould participate intraining webinar however whentried open the appgoot error message not suppported this device really
257,couldnget complete the down load just keeps running and running
258,was asked use zoom for interview ended using whatsapp video call sorry
260,never notifies messageschecked settings and set
261,notify even when the desktop app active but still doesnwork
262,long download
263,iso disappointed that the free version kicks you out aftercertain amount time and asks you pay month they would better add extra features upgrade because nowdoneven wanna use otherwise call quality was pretty good
264,please add samsung and googlepen support the whiteboard share feature
265,other apps use the camerajust view them butcant start camera
266,very slow for call uae need know person who read messages not voice and video clarity level need increase connection issue even full coverage wifi work morell suggest all other team
267,with free spacecan not easily still download the app eating datacan not get downloaded its getting frustrating
268,please update the app consumes phonebattery
269,only wish that they would not auto start video the moment you opened the app you going get people firedll update stars once you google hangouts does verify you are ready start into conference and can adjust your settings
270,way find people
271,doesnt find gmail saved contacts most android users should know not save your contacts the phone but your gmail account seems zoom only looks for contacts saved the phone because cannot findsingle contact
273,loved the app the beginning allows for more users group chat
274,and video conference than most services however the last few weeks
275,months for that matterhave not been able receive any
276,notifications and itvery frustratingwill back and have days worth
277,conversations thatve missed
278,was notgood experience for very choppy video and soundwas ongood connection
279,mute doesnt work pixelwas inmeeting with team only find out everyone knewwas the shower because they could hear the water running not cool
280,can not get
281,not able download its loading for long time
282,good but the privacy policy very scary
283,warning latest update rly buggy getting notifications but messages are updated and shown app itself force close fixed this but unsure for how long following update made things even worse way breakgood messenger devs
284,this app took away from netflix
285,poor reception
286,video quality good
287,its not useful
288,app has much potential but itso badly constructed and has many faults makes too frustrating use
289,latest update broke the tablet view
290,audio quality poor integration with google calendar good but does not work with work profile phone cannot sign zoom from mobile app overallbelow average experience
291,there are many bugs admin please fix this very useful app
292,chettha app
293,cant install
294,whenm inmeeting video camera pauses whentype the chat
295,couldnclick the share screen button the pop
